overture_l0,osm_key
arts_and_entertainment,amenity
arts_and_entertainment,tourism
food_and_drink,amenity
health_care,healthcare
shopping,shop
sports_and_recreation,leisure
services_and_business,amenity
services_and_business,shop
services_and_business,office
services_and_business,craft
lifestyle_services,shop
lifestyle_services,amenity
lifestyle_services,craft
community_and_government,amenity
community_and_government,office
cultural_and_historic,amenity
cultural_and_historic,historic
cultural_and_historic,landuse
cultural_and_historic,tourism
education,amenity
education,office
travel_and_transportation,amenity
lodging,tourism
